Index,Date,Highway Vehicle Miles Traveled - All Systems,Highway Vehicle Miles Traveled - Total Rural,Highway Vehicle Miles Traveled - Other Rural,Highway Vehicle Miles Traveled - Rural Other Arterial,Highway Vehicle Miles Traveled - Rural Interstate
171,4/1/1961 0:00,,,,,
172,5/1/1961 0:00,,,,,
173,6/1/1961 0:00,,,,,
174,7/1/1961 0:00,,,,,
175,8/1/1961 0:00,,,,,
176,9/1/1961 0:00,,,,,
177,10/1/1961 0:00,,,,,
178,11/1/1961 0:00,,,,,
179,12/1/1961 0:00,,,,,
180,1/1/1962 0:00,,,,,
181,2/1/1962 0:00,,,,,
182,3/1/1962 0:00,,,,,
183,4/1/1962 0:00,,,,,
184,5/1/1962 0:00,,,,,
185,6/1/1962 0:00,,,,,
186,7/1/1962 0:00,,,,,
187,8/1/1962 0:00,,,,,
188,9/1/1962 0:00,,,,,
189,10/1/1962 0:00,,,,,
190,11/1/1962 0:00,,,,,
191,12/1/1962 0:00,,,,,
192,1/1/1963 0:00,,,,,
193,2/1/1963 0:00,,,,,
194,3/1/1963 0:00,,,,,
195,4/1/1963 0:00,,,,,
196,5/1/1963 0:00,,,,,
197,6/1/1963 0:00,,,,,
198,7/1/1963 0:00,,,,,
199,8/1/1963 0:00,,,,,
200,9/1/1963 0:00,,,,,
201,10/1/1963 0:00,,,,,
202,11/1/1963 0:00,,,,,
203,12/1/1963 0:00,,,,,
204,1/1/1964 0:00,,,,,
205,2/1/1964 0:00,,,,,
206,3/1/1964 0:00,,,,,
207,4/1/1964 0:00,,,,,
208,5/1/1964 0:00,,,,,
209,6/1/1964 0:00,,,,,
210,7/1/1964 0:00,,,,,
211,8/1/1964 0:00,,,,,
212,9/1/1964 0:00,,,,,
213,10/1/1964 0:00,,,,,
214,11/1/1964 0:00,,,,,
215,12/1/1964 0:00,,,,,
216,1/1/1965 0:00,,,,,
217,2/1/1965 0:00,,,,,
218,3/1/1965 0:00,,,,,
219,4/1/1965 0:00,,,,,
220,5/1/1965 0:00,,,,,
221,6/1/1965 0:00,,,,,
222,7/1/1965 0:00,,,,,
223,8/1/1965 0:00,,,,,
224,9/1/1965 0:00,,,,,
225,10/1/1965 0:00,,,,,
226,11/1/1965 0:00,,,,,
227,12/1/1965 0:00,,,,,
228,1/1/1966 0:00,,,,,
229,2/1/1966 0:00,,,,,
230,3/1/1966 0:00,,,,,
231,4/1/1966 0:00,,,,,
232,5/1/1966 0:00,,,,,
233,6/1/1966 0:00,,,,,
234,7/1/1966 0:00,,,,,
235,8/1/1966 0:00,,,,,
236,9/1/1966 0:00,,,,,
237,10/1/1966 0:00,,,,,
238,11/1/1966 0:00,,,,,
239,12/1/1966 0:00,,,,,
240,1/1/1967 0:00,,,,,
241,2/1/1967 0:00,,,,,
242,3/1/1967 0:00,,,,,
243,4/1/1967 0:00,,,,,
244,5/1/1967 0:00,,,,,
245,6/1/1967 0:00,,,,,
246,7/1/1967 0:00,,,,,
247,8/1/1967 0:00,,,,,
248,9/1/1967 0:00,,,,,
249,10/1/1967 0:00,,,,,
250,11/1/1967 0:00,,,,,
251,12/1/1967 0:00,,,,,
252,1/1/1968 0:00,,,,,
253,2/1/1968 0:00,,,,,
254,3/1/1968 0:00,,,,,
255,4/1/1968 0:00,,,,,
256,5/1/1968 0:00,,,,,
257,6/1/1968 0:00,,,,,
258,7/1/1968 0:00,,,,,
259,8/1/1968 0:00,,,,,
260,9/1/1968 0:00,,,,,
261,10/1/1968 0:00,,,,,
262,11/1/1968 0:00,,,,,
263,12/1/1968 0:00,,,,,
264,1/1/1969 0:00,,,,,
265,2/1/1969 0:00,,,,,
266,3/1/1969 0:00,,,,,
267,4/1/1969 0:00,,,,,
268,5/1/1969 0:00,,,,,
269,6/1/1969 0:00,,,,,
270,7/1/1969 0:00,,,,,
271,8/1/1969 0:00,,,,,
272,9/1/1969 0:00,,,,,
273,10/1/1969 0:00,,,,,
274,11/1/1969 0:00,,,,,
275,12/1/1969 0:00,,,,,
276,1/1/1970 0:00,,,,,
277,2/1/1970 0:00,,,,,
278,3/1/1970 0:00,,,,,
279,4/1/1970 0:00,,,,,
280,5/1/1970 0:00,,,,,
281,6/1/1970 0:00,,,,,
282,7/1/1970 0:00,,,,,
283,8/1/1970 0:00,,,,,
284,9/1/1970 0:00,,,,,
285,10/1/1970 0:00,,,,,
286,11/1/1970 0:00,,,,,
287,12/1/1970 0:00,,,,,
288,1/1/1971 0:00,,,,,
289,2/1/1971 0:00,,,,,
290,3/1/1971 0:00,,,,,
291,4/1/1971 0:00,,,,,
292,5/1/1971 0:00,,,,,
293,6/1/1971 0:00,,,,,
294,7/1/1971 0:00,,,,,
295,8/1/1971 0:00,,,,,
296,9/1/1971 0:00,,,,,
297,10/1/1971 0:00,,,,,
298,11/1/1971 0:00,,,,,
299,12/1/1971 0:00,,,,,
300,1/1/1972 0:00,,,,,
301,2/1/1972 0:00,,,,,
302,3/1/1972 0:00,,,,,
