,IndexID,Date,International,Domestic
669,669,10/1/2002 0:00,1887141507.0,1458665511.0
670,670,11/1/2002 0:00,1778562018.0,1296240597.0
671,671,12/1/2002 0:00,1548068209.0,1262516095.0
672,672,1/1/2003 0:00,1395876124.0,1177784627.0
673,673,2/1/2003 0:00,1366616979.0,1079560803.0
674,674,3/1/2003 0:00,1691870398.0,1233952637.0
675,675,4/1/2003 0:00,1524836689.0,1208202411.0
676,676,5/1/2003 0:00,1489449317.0,1243021284.0
677,677,6/1/2003 0:00,1473213694.0,1207784771.0
678,678,7/1/2003 0:00,1530099894.0,1263990904.0
679,679,8/1/2003 0:00,1501194159.0,1318439468.0
680,680,9/1/2003 0:00,1471921446.0,1276318487.0
681,681,10/1/2003 0:00,1644433898.0,1460484716.0
682,682,11/1/2003 0:00,1669628701.0,1338769588.0
683,683,12/1/2003 0:00,1549080657.0,1424215601.0
684,684,1/1/2004 0:00,1384090324.0,1234820474.0
685,685,2/1/2004 0:00,1560915541.0,1264421878.0
686,686,3/1/2004 0:00,1852849723.0,1416580271.0
687,687,4/1/2004 0:00,1743325363.0,1343959446.0
688,688,5/1/2004 0:00,1759024876.0,1324741910.0
689,689,6/1/2004 0:00,1750233212.0,1330791002.0
690,690,7/1/2004 0:00,1828606943.0,1359617810.0
691,691,8/1/2004 0:00,1781455881.0,1331532717.0
692,692,9/1/2004 0:00,1852678025.0,1393406685.0
693,693,10/1/2004 0:00,1989881545.0,1527977948.0
694,694,11/1/2004 0:00,2040340224.0,1397972936.0
695,695,12/1/2004 0:00,1958533678.0,1526983769.0
696,696,1/1/2005 0:00,1696943759.0,1280515594.0
697,697,2/1/2005 0:00,1561958530.0,1253130190.0
698,698,3/1/2005 0:00,1958161776.0,1469764699.0
699,699,4/1/2005 0:00,2078221976.0,1226824174.0
700,700,5/1/2005 0:00,1925489197.0,1261164593.0
701,701,6/1/2005 0:00,1981247254.0,1351713955.0
702,702,7/1/2005 0:00,1896306910.0,1325121254.0
703,703,8/1/2005 0:00,2004977073.0,1266498961.0
704,704,9/1/2005 0:00,2037929110.0,1274319928.0
705,705,10/1/2005 0:00,2195277300.0,1309094742.0
706,706,11/1/2005 0:00,2171935189.0,1322616874.0
707,707,12/1/2005 0:00,2052950128.0,1405020466.0
708,708,1/1/2006 0:00,1767954760.0,1153227923.0
709,709,2/1/2006 0:00,1669369405.0,1090956899.0
710,710,3/1/2006 0:00,2224075949.0,1393292715.0
711,711,4/1/2006 0:00,2009951304.0,1260968515.0
712,712,5/1/2006 0:00,1948254140.0,1262064520.0
713,713,6/1/2006 0:00,2045345991.0,1322621840.0
714,714,7/1/2006 0:00,1991845390.0,1209683130.0
715,715,8/1/2006 0:00,2037074957.0,1358627380.0
716,716,9/1/2006 0:00,2094828908.0,1292726752.0
717,717,10/1/2006 0:00,2205705333.0,1309027734.0
718,718,11/1/2006 0:00,2273447644.0,1332611026.0
719,719,12/1/2006 0:00,2129329892.0,1376716744.0
720,720,1/1/2007 0:00,1849783424.0,1176577164.0
721,721,2/1/2007 0:00,1794748245.0,1114175419.0
722,722,3/1/2007 0:00,2262186554.0,1328374155.0
723,723,4/1/2007 0:00,2060972051.0,1195997821.0
724,724,5/1/2007 0:00,2006753515.0,1276607910.0
725,725,6/1/2007 0:00,2017137963.0,1265465327.0
726,726,7/1/2007 0:00,2022348251.0,1215467636.0
727,727,8/1/2007 0:00,2033181108.0,1340746719.0
728,728,9/1/2007 0:00,2034109815.0,1287370145.0
729,729,10/1/2007 0:00,2227125459.0,1333694289.0
730,730,11/1/2007 0:00,2269034764.0,1291889279.0
731,731,12/1/2007 0:00,2142713001.0,1316155430.0
735,880,5/1/2020 0:00,2228769680.0,1583861040.0
736,879,4/1/2020 0:00,2025803327.0,1447281134.0
737,878,3/1/2020 0:00,2165378135.0,1442357710.0
738,877,2/1/2020 0:00,1781338361.0,1173055368.0
739,876,1/1/2020 0:00,2041418389.0,1322461187.0
740,875,12/1/2019 0:00,2119993328.0,1555342908.0
741,874,11/1/2019 0:00,2436534901.0,1413879506.0
742,873,10/1/2019 0:00,2399210858.0,1433811470.0
743,872,9/1/2019 0:00,2223943366.0,1304837720.0
744,871,8/1/2019 0:00,2259535655.0,1410974295.0
745,870,7/1/2019 0:00,2283098811.0,1372525562.0
746,869,6/1/2019 0:00,2242323812.0,1353833324.0
747,868,5/1/2019 0:00,2347935662.0,1397362976.0
748,867,4/1/2019 0:00,2274296149.0,1344144918.0
749,866,3/1/2019 0:00,2428280992.0,1354156575.0
750,865,2/1/2019 0:00,1867678286.0,1148955024.0
751,864,1/1/2019 0:00,2177435751.0,1323554381.0
752,863,12/1/2018 0:00,2330529913.0,1511257823.0
753,862,11/1/2018 0:00,2416461081.0,1397111162.0
754,861,10/1/2018 0:00,2531090174.0,1416350708.0
755,860,9/1/2018 0:00,2378773382.0,1320407506.0
756,859,8/1/2018 0:00,2292000290.0,1378745514.0
757,858,7/1/2018 0:00,2365353566.0,1287661025.0
758,857,6/1/2018 0:00,2383925588.0,1316743895.0
759,856,5/1/2018 0:00,2402535270.0,1351698135.0
760,855,4/1/2018 0:00,2306569617.0,1244529919.0
761,854,3/1/2018 0:00,2412818775.0,1338314104.0
762,853,2/1/2018 0:00,1937323472.0,1147866027.0
763,852,1/1/2018 0:00,2143409082.0,1257997125.0
764,851,12/1/2017 0:00,2316138277.0,1493693931.0
765,850,11/1/2017 0:00,2434473351.0,1411034577.0
766,849,10/1/2017 0:00,2396985579.0,1328516999.0
767,848,9/1/2017 0:00,2257636368.0,1256900240.0
